Ticker, Date (day-month-year), Open, High, Low, Close, Volume
GOOGL,20161007,805.929993,805.940002,796.820007,800.710022,1163100
GOOGL,20161006,804.080017,806.950012,800.51001,803.080017,1097800
GOOGL,20161005,806,808.5,800.710022,801.22998,1208200
GOOGL,20161004,805,806.5,799.669983,802.789978,1254200
GOOGL,20161003,802.549988,803.539978,796.22998,800.380005,1486100
GOOGL,20160930,803.599976,808.090027,801.5,804.059998,1626700
GOOGL,20160929,807.22998,813.909973,800.859985,802.640015,1348200
GOOGL,20160928,804.080017,810.25,802.780029,810.059998,1468800
GOOGL,20160927,801.830017,813.48999,801.830017,810.72998,1353900
GOOGL,20160926,809.820007,810.080017,800.450012,802.650024,1426900
GOOGL,20160923,815.140015,817,812.72998,814.960022,1407400
GOOGL,20160922,810,819.059998,807.710022,815.950012,1751800
GOOGL,20160921,801.26001,805.909973,796.030029,805.030029,1342200
GOOGL,20160920,800,802.75,798.26001,799.780029,1049200
GOOGL,20160919,801.109985,803.98999,793.559998,795.390015,1146700
GOOGL,20160916,799.02002,799.02002,793.619995,797.969971,2125200
GOOGL,20160915,790.01001,803.650024,788.659973,801.22998,1557200
GOOGL,20160914,787.530029,796.330017,787.530029,790.460022,1292100
GOOGL,20160913,794.01001,795.789978,784.330017,788.719971,1801000
GOOGL,20160912,784.52002,800.169983,783.5,798.820007,1848200
GOOGL,20160909,798.77002,801.75,788.049988,788.47998,1858500
T,20161007,39.220001,39.290001,38.709999,38.869999,19160600
T,20161006,39.130001,39.200001,38.91,39.110001,15750600
T,20161005,39.610001,39.630001,38.830002,39.16,22600900
T,20161004,40.720001,40.759998,39.709999,39.900002,33179900
T,20161003,40.619999,41.040001,40.5,40.77,16581700
T,20160930,40.91,41.040001,40.599998,40.610001,19381600
T,20160929,40.75,41.07,40.439999,40.73,17046800
T,20160928,41.009998,41.07,40.580002,40.849998,26340200
T,20160927,41.23,41.700001,41.060001,41.459999,18440200
T,20160926,41.279999,41.41,41.110001,41.139999,16647200
T,20160923,41.150002,41.389999,40.73,41.279999,18867600
T,20160922,40.73,41.189999,40.700001,41.110001,22283300
T,20160921,40.049999,40.630001,39.970001,40.57,19130900
T,20160920,40.16,40.43,39.880001,39.959999,14197800
T,20160919,40.200001,40.240002,39.860001,40.060001,16182800
T,20160916,40.34,40.41,39.900002,40.200001,41350600
T,20160915,39.799999,40.619999,39.619999,40.450001,22935900
T,20160914,39.950001,40.259998,39.759998,39.889999,26539500
T,20160913,40.450001,40.459999,39.77,39.970001,25529500
T,20160912,39.57,40.849998,39.549999,40.709999,26864200
T,20160909,40.98,41.080002,39.68,39.709999,38500100
MSFT,20161007,57.849998,57.98,57.419998,57.799999,20058100
MSFT,20161006,57.740002,57.860001,57.279999,57.740002,16212600
MSFT,20161005,57.290001,57.959999,57.259998,57.639999,16726400
MSFT,20161004,57.27,57.599998,56.970001,57.240002,20085900
MSFT,20161003,57.41,57.549999,57.060001,57.419998,19189500
MSFT,20160930,57.57,57.77,57.34,57.599998,29910800
MSFT,20160929,57.810001,58.169998,57.209999,57.400002,25463500
MSFT,20160928,57.880001,58.060001,57.669998,58.029999,20536400
MSFT,20160927,56.93,58.060001,56.68,57.950001,28065100
MSFT,20160926,57.080002,57.139999,56.830002,56.900002,21688700
MSFT,20160923,57.869999,57.91,57.380001,57.43,19955300
MSFT,20160922,57.919998,58,57.630001,57.82,19822200
MSFT,20160921,57.509998,57.849998,57.080002,57.759998,33707300
MSFT,20160920,57.349998,57.349998,56.75,56.810001,17384000
MSFT,20160919,57.27,57.75,56.849998,56.93,20937100
MSFT,20160916,57.630001,57.630001,56.75,57.25,44607000
MSFT,20160915,56.150002,57.349998,55.98,57.189999,26847000
MSFT,20160914,56.389999,56.630001,56.029999,56.259998,24062500
MSFT,20160913,56.5,56.650002,56.049999,56.529999,30130200
MSFT,20160912,56,57.209999,55.610001,57.049999,29303000
MSFT,20160909,56.790001,57.52,56.209999,56.209999,35113900
AMZN,20161007,845.789978,845.950012,837.450012,839.429993,2416500
AMZN,20161006,843.700012,847.210022,840.599976,841.659973,2679200
AMZN,20161005,838,845.669983,836.119995,844.359985,3450000
AMZN,20161004,840.909973,842.369995,830.26001,834.030029,2945000
AMZN,20161003,836,839.859985,831.25,836.73999,2757800
AMZN,20160930,832.609985,839.950012,832.400024,837.309998,4411600
AMZN,20160929,828.26001,837.5,824.630005,829.049988,4882900
AMZN,20160928,818,830.140015,817.030029,828.719971,4416100
AMZN,20160927,801.849976,816.640015,801.109985,816.109985,3811900
AMZN,20160926,801.799988,805.929993,797.150024,799.159973,2647300
AMZN,20160923,803.130005,807.75,802.119995,805.75,2347300
AMZN,20160922,794.27002,805.890015,794.27002,804.700012,4064100
AMZN,20160921,783.25,790.690002,779.01001,789.73999,2702600
AMZN,20160920,776,781.369995,776,780.219971,1930600
AMZN,20160919,779.969971,781.940002,771,775.099976,2292500
AMZN,20160916,773.280029,780.460022,771.659973,778.52002,5482800
AMZN,20160915,762,770.869995,757.580017,769.690002,3034000
AMZN,20160914,762.200012,767.5,758.849976,761.090027,2523000
AMZN,20160913,768.77002,769.890015,759.049988,761.01001,3106900
AMZN,20160912,757.349976,772.659973,756,771.48999,3101400
AMZN,20160909,779.359985,781,760.109985,760.140015,4204700
